Place,Team,Played,Won,Drawn,Lost,For,Against,Difference,Bonus,Points
1,Bristol,1,1,0,0,17,10,7,0,4
2,Bath,1,0,0,1,10,17,-7,1,1
3,Exeter,0,0,0,0,0,0,0,0,0
4,Gloucester,0,0,0,0,0,0,0,0,0
5,Harlequins,0,0,0,0,0,0,0,0,0
6,Leicester,0,0,0,0,0,0,0,0,0
7,Newcastle,0,0,0,0,0,0,0,0,0
8,N'hampton,0,0,0,0,0,0,0,0,0
9,Sale,0,0,0,0,0,0,0,0,0
10,Saracens,0,0,0,0,0,0,0,0,0
11,Wasps,0,0,0,0,0,0,0,0,0
